Prompt,Answer
What arrhythmia is most likely in result in syncope?,AVNRT
The 'sawtooth' ECG pattern observed with atrial flutter is formed by which ECG component?,P waves that are continuous
Sinus tachycardia is any heart rate above how many BPM in an adult?,100 BPM
Which arrhythmia is characterized by near simultaneous atrial and ventricular contractions?,AVNRT
Irregularly irregular RR interval is descriptive of which arrhythmia?,Atrial fibrillation
"Retrograde P wave is charateristic of which arrhythmia?""",AVNRT
Sinus bradycardia is any heart rate above how many BPM in an adult?,60 BPM
Risk of thromboembolism related to blood pooling in the atrial appendages is greatest in which arrhythmia?,Atrial fibrillation
Indisctinct P waves is characteristic of which type of arrhythmia?,Atrial fibrillation
Where do electrical impulses typically originate in atrial flutter?,Coronary sinus
Define 4:1 conduction in atrial flutter,4 atrial contractions to every 1 ventricular contraction
